Test Case,Board Size,Depth,Algorithm,Best Move,Score,States Evaluated,Runtime(ms),Same Move as Minimax?,State Reduction (%)
Opening State,9x9,1,Minimax,None,0.00,0,0.61,,
Opening State,9x9,1,Alpha-Beta,None,0.00,0,0.02,Yes,
Opening State,9x9,2,Minimax,None,0.00,0,0.03,,
Opening State,9x9,2,Alpha-Beta,None,0.00,0,0.03,Yes,
Opening State,9x9,3,Minimax,None,0.00,0,0.03,,
Opening State,9x9,3,Alpha-Beta,None,0.00,0,0.03,Yes,
Mid-game State,9x9,1,Minimax,None,0.00,0,0.03,,
Mid-game State,9x9,1,Alpha-Beta,None,0.00,0,0.03,Yes,
Mid-game State,9x9,2,Minimax,None,0.00,0,0.03,,
Mid-game State,9x9,2,Alpha-Beta,None,0.00,0,0.03,Yes,
Mid-game State,9x9,3,Minimax,None,0.00,0,0.03,,
Mid-game State,9x9,3,Alpha-Beta,None,0.00,0,0.03,Yes,
Immediate AI Win,9x9,1,Minimax,None,0.00,0,0.02,,
Immediate AI Win,9x9,1,Alpha-Beta,None,0.00,0,0.02,Yes,
Immediate AI Win,9x9,2,Minimax,None,0.00,0,0.03,,
Immediate AI Win,9x9,2,Alpha-Beta,None,0.00,0,0.03,Yes,
Immediate AI Win,9x9,3,Minimax,None,0.00,0,0.02,,
Immediate AI Win,9x9,3,Alpha-Beta,None,0.00,0,0.02,Yes,
Human Near-Win (Threat),9x9,1,Minimax,None,0.00,0,0.02,,
Human Near-Win (Threat),9x9,1,Alpha-Beta,None,0.00,0,0.02,Yes,
Human Near-Win (Threat),9x9,2,Minimax,None,0.00,0,0.02,,
Human Near-Win (Threat),9x9,2,Alpha-Beta,None,0.00,0,0.02,Yes,
Human Near-Win (Threat),9x9,3,Minimax,None,0.00,0,0.02,,
Human Near-Win (Threat),9x9,3,Alpha-Beta,None,0.00,0,0.02,Yes,
Dense Tactical Board,9x9,1,Minimax,None,0.00,0,0.02,,
Dense Tactical Board,9x9,1,Alpha-Beta,None,0.00,0,0.02,Yes,
Dense Tactical Board,9x9,2,Minimax,None,0.00,0,0.02,,
Dense Tactical Board,9x9,2,Alpha-Beta,None,0.00,0,0.02,Yes,
Dense Tactical Board,9x9,3,Minimax,None,0.00,0,0.02,,
Dense Tactical Board,9x9,3,Alpha-Beta,None,0.00,0,0.02,Yes,
Many Legal Moves,9x9,1,Minimax,None,0.00,0,0.02,,
Many Legal Moves,9x9,1,Alpha-Beta,None,0.00,0,0.02,Yes,
Many Legal Moves,9x9,2,Minimax,None,0.00,0,0.02,,
Many Legal Moves,9x9,2,Alpha-Beta,None,0.00,0,0.02,Yes,
Many Legal Moves,9x9,3,Minimax,None,0.00,0,0.02,,
Many Legal Moves,9x9,3,Alpha-Beta,None,0.00,0,0.02,Yes,
